0, 30, 40, 30, 0
40, 30, 350, 30, 1
350, 30, 380, 50, 1
380, 50, 410, 50, 0
380, 50, 60, 50, 1
60, 50, 40, 30, 1
60, 50, 80, 70, 0
80, 70, 350, 70, 2
350, 70, 380, 90, 2
380, 90, 460, 90, 0
380, 90, 100, 90, 2
100, 90, 80, 70, 2
410, 50, 440, 90, 0
460, 90, 500, 130, 0
120, 110, 350, 110, 3
350, 110, 370, 130, 3
370, 130, 550, 130, 0
370, 130, 140, 130, 3
140, 130, 120, 110, 3
100, 90, 120, 110, 0
440, 150, 460, 130, 0
160, 150, 240, 150, 0
240, 150, 260, 170, 4
260, 170, 400, 170, 4
400, 170, 430, 150, 4
430, 150, 440, 150, 0
440, 150, 240, 150, 4
140, 130, 280, 270, 0
600, 30, 640, 30, 0
640, 30, 950, 30, 5
950, 30, 980, 50, 5
980, 50, 1010, 50, 5
980, 50, 660, 50, 0
680, 70, 950, 70, 0
950, 70, 980, 90, 0
980, 90, 1040, 90, 0
980, 90, 700, 90, 0
1010, 50, 1040, 90, 5
1040, 90, 1060, 90, 5
1060, 90, 1100, 130, 5
720, 110, 950, 110, 0
950, 110, 970, 130, 0
970, 130, 1060, 130, 0
1100, 130, 1150, 130, 0
970, 130, 740, 130, 0
1100, 130, 1060, 130, 5
1060, 130, 1040, 150, 5
1040, 150, 1030, 150, 5
1030, 150, 1000, 170, 5
1000, 170, 860, 170, 5
860, 170, 840, 150, 5
840, 150, 760, 150, 5
1040, 150, 840, 150, 0
760, 150, 880, 270, 0
760, 150, 640, 30, 5
